Order_ID,Order_Date,Ship_Date,Category,Product,Quantity,Unit_Price,Discount_Pct,Gross_Sales,Discount_Amount,Net_Sales,Profit,State,Channel,Payment_Method,Order_Status,Customer_Segment
AMZ-2024-00001,2024-01-14,2024-01-19,Clothing,Men's T-Shirt,3,536.21,5,1608.63,80.43,1528.2,345.89,Tamil Nadu,Amazon Prime,Credit Card,Delivered,Prime Member
AMZ-2024-00002,2024-01-23,2024-01-27,Sports,Yoga Mat,2,1409.27,20,2818.54,563.71,2254.83,374.6,Telangana,Amazon.in,Net Banking,Delivered,Prime Member
AMZ-2024-00003,2024-05-22,2024-05-26,Sports,Cricket Bat,5,2431.98,30,12159.9,3647.97,8511.93,1066.12,Punjab,Amazon Global,Credit Card,Returned,B2B
AMZ-2024-00004,2024-01-29,2024-01-31,Books,Business Analytics,1,297.04,25,297.04,74.26,222.78,40.34,Haryana,Amazon.in,Debit Card,Delivered,B2B
AMZ-2024-00005,2024-10-26,2024-10-30,Clothing,Women's Kurti,5,833.95,20,4169.75,833.95,3335.8,783.06,Kerala,Amazon Prime,Debit Card,Shipped,B2C
AMZ-2024-00006,2024-01-06,2024-01-07,Grocery,Organic Honey,1,520.24,10,520.24,52.02,468.22,160.49,Punjab,Amazon Global,EMI,Returned,B2C
AMZ-2024-00007,2024-09-16,2024-09-21,Sports,Cycling Gloves,2,1925.85,10,3851.7,385.17,3466.53,1076.07,Tamil Nadu,Amazon Business,Debit Card,Delivered,Prime Member
AMZ-2024-00008,2024-02-05,2024-02-10,Electronics,Mechanical Keyboard,4,586.65,0,2346.6,0.0,2346.6,664.03,Andhra Pradesh,Amazon Business,Credit Card,Delivered,Prime Member
AMZ-2024-00009,2024-09-21,2024-09-25,Home & Kitchen,Non-Stick Pan,5,1954.51,25,9772.55,2443.14,7329.41,1417.18,Delhi,Amazon Business,Credit Card,Delivered,B2B
AMZ-2024-00010,2024-10-03,2024-10-05,Electronics,USB-C Hub,5,1489.98,25,7449.9,1862.47,5587.43,1236.8,Madhya Pradesh,Amazon Prime,Credit Card,Delivered,B2B
AMZ-2024-00011,2024-02-25,2024-02-27,Books,Data Science Handbook,1,717.3,25,717.3,179.32,537.98,99.43,Tamil Nadu,Amazon Business,Cash on Delivery,Delivered,B2C
AMZ-2024-00012,2024-05-01,2024-05-03,Toys,Remote Car,3,1733.72,0,5201.16,0.0,5201.16,1780.09,West Bengal,Amazon Prime,Net Banking,Shipped,B2B
AMZ-2024-00013,2024-03-20,2024-03-22,Electronics,Bluetooth Speaker,4,508.7,25,2034.8,508.7,1526.1,426.7,Gujarat,Amazon Business,UPI,Delivered,Prime Member
AMZ-2024-00014,2024-07-25,2024-07-26,Beauty,Face Serum,1,257.15,25,257.15,64.29,192.86,60.84,Kerala,Amazon Business,Cash on Delivery,Delivered,Prime Member
AMZ-2024-00015,2024-02-07,2024-02-08,Clothing,Sports Shorts,5,836.83,15,4184.15,627.62,3556.53,636.78,Uttar Pradesh,Amazon.in,UPI,Shipped,Prime Member
AMZ-2024-00016,2024-12-07,2024-12-12,Sports,Resistance Bands,3,2975.3,25,8925.9,2231.48,6694.42,1554.68,Gujarat,Amazon.in,Credit Card,Cancelled,B2C
AMZ-2024-00017,2024-11-20,2024-11-24,Clothing,Cotton Saree,5,777.99,30,3889.95,1166.98,2722.97,306.88,Haryana,Amazon Global,UPI,Delivered,B2B
AMZ-2024-00018,2024-10-25,2024-10-30,Home & Kitchen,Vacuum Cleaner,3,5115.27,0,15345.81,0.0,15345.81,4736.47,Karnataka,Amazon Prime,Credit Card,Delivered,B2B
AMZ-2024-00019,2024-03-31,2024-04-04,Beauty,Face Serum,3,697.61,5,2092.83,104.64,1988.19,628.57,Maharashtra,Amazon Business,EMI,Returned,B2B
AMZ-2024-00020,2024-04-24,2024-04-25,Books,Business Analytics,2,714.16,30,1428.32,428.5,999.82,317.77,Punjab,Amazon Business,Net Banking,Returned,B2B
AMZ-2024-00021,2024-05-15,2024-05-16,Clothing,Denim Jeans,3,1164.99,20,3494.97,698.99,2795.98,952.4,Delhi,Amazon Prime,Debit Card,Returned,B2B
AMZ-2024-00022,2024-02-05,2024-02-08,Clothing,Sports Shorts,5,374.46,5,1872.3,93.61,1778.69,339.83,Kerala,Amazon Global,EMI,Delivered,Prime Member
AMZ-2024-00023,2024-06-03,2024-06-07,Sports,Running Shoes,3,953.3,5,2859.9,142.99,2716.91,689.77,Telangana,Amazon.in,Debit Card,Cancelled,B2C
AMZ-2024-00024,2024-12-05,2024-12-10,Toys,Action Figure,5,2050.25,0,10251.25,0.0,10251.25,1752.42,Rajasthan,Amazon.in,Credit Card,Cancelled,B2C
AMZ-2024-00025,2024-05-04,2024-05-06,Books,Python Programming,1,660.09,15,660.09,99.01,561.08,125.45,Punjab,Amazon.in,UPI,Delivered,B2C
